user,tweets,labels,follows
user1,"b'RT @OrwellNGoode: Remember how ""It\'s Okay To Be White"" was considered racist by Westerners? https://t.co/LGPeuaRvgl'",4,following1
user1,b'@timmehhh73 @GMPOldham This is persecution of the of the white British the police spend so much time on social medi\xe2\x80\xa6 https://t.co/Yd20E4u7V0',4,following1
user1,b'@GMPOldham Lol freedom of speech allows u to critisice ... agree to disagree',4,following1
user1,b'RT @Neologicality: ATTENTION THERESA MAY &amp; AMBER RUDD !! \n\nI am the one on the left !!\nI am 80 years old and wish to publicly inform you th\xe2\x80\xa6',4,following1
user1,"b'RT @BrendanPickett: ""Your first job is to believe that change is possible.""\n\n@AMDWaters \n\n@Sarnjc1 @ForBritainParty @CllrBSilvester @Anish_\xe2\x80\xa6'",4,following1
user1,b'Wow absolutely disgusting Blatant racism https://t.co/8bBz3Hk3SZ',4,following1
user1,"b'RT @2tweetaboutit: Turkish leaders, including Muslim President Recep Tayyip Erdo\xc4\x9fan and a member of ruling Justice and Development Party (A\xe2\x80\xa6'",4,following1
user1,b'@TuffsLiam @AliDawow This is probably made up for camera I have nothing against Muslims but Islam has no place in the UK',0,following1
user1,b'RT @UK__News: 5 days in London:\n\n\xe2\x9d\x8cFatal shooting in Walthamstow\n\xe2\x9d\x8cFatal stabbing in Chadwell Heath \n\xe2\x9d\x8cFatal shooting &amp; stabbing in Enfield\n\xe2\x9d\x8cF\xe2\x80\xa6',4,following1
user1,b'RT @52vincentblack: UK Dream team.@TRobinsonNewEra @AMDWaters @KTHopkins @DouglasKMurray Retweet.Let this people know WE are behind them!!\xe2\x80\xa6',4,following1
user1,b'Arrest @theresa_may for treason ...',3,following1
user1,"b'RT @RedHotSquirrel: It was Rudd, allegedly. \n\nHome Secretary signed off on the deal to give \xc2\xa3490million Britain blue passport contract to t\xe2\x80\xa6'",4,following1
user1,b'RT @StirringTrouble: Here is a reminder to all Remainers: the debate whether it was a good or a bad idea for Britain to leave the EU ended\xe2\x80\xa6',4,following1
user1,b'RT @WestmonsterUK: MAD: Government announce freedom of movement to be extended to Croatia this year. \n\nThe British people voted to end open\xe2\x80\xa6',4,following1
user1,b'@theresa_may Fuck off u traitor ..',3,following1
user1,"b""RT @david_standing: What's not like about 10 point plan  https://t.co/JyfO5NLuLA""",4,following1
user1,b'RT @CllrBSilvester: Face coverings in public places should be banned. https://t.co/xdKcPPY0Sq',0,following1
user1,b'@LeaveEUOfficial @DailyMailUK Thank u @DailyMailUK for sticking up for the British people',4,following1
user1,b'RT @LeaveEUOfficial: Spot on from @DailyMailUK this morning \xf0\x9f\x91\x8d\n\nSupport us at https://t.co/iICfFb8qqg https://t.co/G7byS4pXoF',4,following1
user1,b'@hostileholly5w @2053pam This makes me fucking sick lets just recap what happened last time we let people in \xf0\x9f\xa4\x94 https://t.co/hjkvk5kTJB',1,following1
user1,"b'RT @LeaveEUOfficial: Fighting talk from Jacob Rees-Mogg, rightly pointing out that if we were to walk away and take our wallet with us the\xe2\x80\xa6'",4,following1
user1,b'@Arron_banks @Richlin11a U are a fucking joke may',1,following1
user1,b'@GetBritainOut @theresa_may @AMDWaters @Jacob_Rees_Mogg tell them to fuck off for fucks sake ur lack of balls may i\xe2\x80\xa6 https://t.co/t2Bib2PApy',1,following1
user1,b'@TRobinsonOnline @metpoliceuk @TRobinsonNewEra All I saw was Muslims attacking whites lol',1,following1
user1,"b'RT @MercianInfidel: By 2066, Britain will be majority non-white. That is 47 years away I believe. Anyone telling you mass immigration is a\xe2\x80\xa6'",2,following1
user1,"b""@itsalthesame2me @garysmi35858744 It's about time the people teamed up an forced the government out we run this country not them""",4,following1
user1,b'RT @Colin_Lawton1: Terrorists are not refugees.\nTerrorism is not diversity.\nLiving in fear is not multiculturalism.\nDenying rape/violence i\xe2\x80\xa6',1,following1
user1,"b""RT @andyvblue: Remeber this so called Syrian \n'Child Refugee' scumbag that\nAmber Rudderless let in...\nHow's that working out then???\n#trait\xe2\x80\xa6""",1,following1
user1,"b""RT @Lauren_Southern: 'Allah Is Gay' - Here's What Happened in Luton\nFull video! https://t.co/gPedrlyYqB https://t.co/TqVWMsUdsH""",0,following1
user1,b'RT @kazmc39: @KTHopkins \n\nAre you joining us Saturday?\n\n(Please pm me for admins details)\n\nPlease everyone could you retweet this please so\xe2\x80\xa6',4,following1
user1,b'RT @LeaveEUOfficial: RT if this is how you feel about the political establishment in Britain! \xf0\x9f\x91\x8a\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\n\nSupport us at https://t.co/iICfFb8qqg ht\xe2\x80\xa6',4,following1
user1,"b'RT @richard11a1949: UK Parliament: To save Brexit before democracy is crushed, Theresa May must be impeached. - Sign the Petition! https://\xe2\x80\xa6'",4,following1
user1,"b'RT @frambumtd: Prime Minister,\nYou have wasted two years with your dithering, delaying, sabotaging, grovelling, arse kissing, rolling over,\xe2\x80\xa6'",1,following1
user1,"b""@theresa_may u should be sacked u work for the people clearly u don't know what leave means No Deal an walk away https://t.co/2skROGZ5mm""",4,following1
user1,b'RT @RedHotSquirrel: The British people are sovereign.\n\nMPs are mere representatives of the people in Parliament.\n\nMost Labour MPs represent\xe2\x80\xa6',4,following1
user1,b'RT @Jonteinspain: This thug was beating innocent people with a 4 foot stick at speakers corner yesterday. Police were no more than 4 metres\xe2\x80\xa6',4,following1
user1,b'@NationalistGent @erikak58 Keep fighting fuck them terrorists called antifa',3,following1
user1,b'@Jacob_Rees_Mogg Sack @theresa_may an you Jacob become PM we need some one with balls \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x91\x8a\xf0\x9f\x91\x8a',1,following1
user1,b'@PFencesMusic @metpoliceuk @MetCC @metpoliceuk',4,following1
user1,b'@willempet @white_arrow_uk Because he is white',4,following1
user1,"b'RT @bobmca1: Duration: EU Ref - End of Transition Period - 4 years, 6 months, 9 days (23/6/2016 - 31/12/2020).  \n\nDuration: WW1 - 4 years,\xe2\x80\xa6'",4,following1
user1,b'RT @RaheemKassam: https://t.co/Kh3uu9rLRz',4,following1
user1,b'Absolutely beyond a joke u traitor u should be arrested for treason \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 @theresa_may https://t.co/oApT7VyB9E',3,following1
user1,"b'RT @JackBMontgomery: ""If someone does something that isn\'t a criminal offence but the victim, OR ANYONE ELSE, believes it was motivated by\xe2\x80\xa6'",4,following1
user1,"b'RT @Co110n_purpose: Repeat after me,out loud.\n\nForeign men have entered our homeland and are raping our women and children.\n\nOur ""leaders""\xe2\x80\xa6'",1,following1
user1,b'RT @TheFogeys: I want @Jacob_Rees_Mogg instead of @theresa_may ... and I want him before she does any more deliberate damage to #Brexit\n\nSt\xe2\x80\xa6',4,following1
user1,"b""@FreeSpeechGB @Stevewi40603432 @metpoliceuk This is treason arrest all parliament if don't respect the biggest demo\xe2\x80\xa6 https://t.co/yDfx3tKFNO""",1,following1
user1,b'Extremist group lol get a grip woman ... ooo an another thing seen as ur liking deportation now u got rid of Russia\xe2\x80\xa6 https://t.co/pAwlS9FQSM',1,following1
user1,b'@notwaving Another lefty twat the UK is free .. u can say anything to anyone as long as ur not inciting violence..\xe2\x80\xa6 https://t.co/JgzTRXgUec',1,following1
user1,"b""@Frankhaviland @theresa_may @YahooNewsUK There is no such thing as far right to me it's common sense it's the gover\xe2\x80\xa6 https://t.co/O4tOEqjOKe""",4,following1
user1,b'@TrumpsBlonde @TheRebelQuotes @CharlieJulliet2 Can I have an emergency visa to Australia as the UK government have\xe2\x80\xa6 https://t.co/oS4i2P8sXY',4,following1
user1,b'RT @spurs4eva1965: This is who Tommy Robinson really is. https://t.co/SFMuCny5LH',4,following1
user1,b'Get a fucking grip while innocent young white girls are been beaten drugged raped an some murdered by Muslims ur mo\xe2\x80\xa6 https://t.co/O7ZJiLXpx0',3,following1
user1,"b""@lucyfrown @BirkbeckNews I'm a proud white man but oppressed in the UK""",4,following1
user1,b'@ActivePatriots Civil war needs to happen 2 wars we fought for our freedom now the left wing government are taking\xe2\x80\xa6 https://t.co/DT4lZUH4RE',3,following1
user1,b'@StefanTompson @CaolanRob @TRobinsonNewEra Excellent comment',4,following1
user1,"b'RT @StefanTompson: @CaolanRob @TRobinsonNewEra If the right honourable MP refers to the activism of ""the likes of @TRobinsonNewEra"" as ""hat\xe2\x80\xa6'",4,following1
user1,b'@theresa_may Anyway something more important any news on TELFORD??',4,following1
user1,"b""@TRobinsonNewEra Sorry I'm Yorkshire can't get there or I would but I hope there is a big turn out of Londoners an surrounding areas""",4,following1
user1,b'@piersmorgan Shame on Facebook',4,following1
user1,"b""@timmehhh73 @patcondell Fight back now before it's too late""",3,following1
user1,"b""@Sensatus @timmehhh73 Free speech to me means I can say anything as long as I don't incite violence on another pers\xe2\x80\xa6 https://t.co/S6b61Vus4u""",4,following1
user1,b'RT @Andrewabp: @IAmBritishreal I have been 2 the USA many times travelling extensively storm chasing 4 mths at a time\n\nEverywhere u look u\xe2\x80\xa6',4,following1
user1,b'\xf0\x9f\x92\xaf\xf0\x9f\x91\x8c https://t.co/KLcicYW377',4,following1
user1,b'@SadiqKhan @AMDWaters @Jacob_Rees_Mogg @theresa_may  .. if I said I hate Islam would u class me as racist ? Or woul\xe2\x80\xa6 https://t.co/OwO3fsB3ia',0,following1
user1,b'@BigBroHeavy @TRobinsonNewEra Amazing guy full respect we should all be free an say what we want as long as we are\xe2\x80\xa6 https://t.co/NVSxuLAOzK',4,following1
user1,b'@MayorofLondon If u want to end the hate stop forcing Islam an sharia law on the UK we are a Christian country adap\xe2\x80\xa6 https://t.co/oWlkYpc870',0,following1
user1,"b'RT @CllrBSilvester: Bercow Says,""Bollocks to Brexit""\nBercow has let it be known that he might want to stay past his promised 2018 departure\xe2\x80\xa6'",4,following1
user1,"b'RT @LeaveEUOfficial: WATCH | @Nigel_Farage: ""Mrs May, we did not vote for a transition period, we voted to leave! We voted to leave the Cus\xe2\x80\xa6'",4,following1
user1,"b""@MaxMonobrow @zvsty @VICEUK Why bother getting a degree he wouldn't get a job in this politically correct country ?\xe2\x80\xa6 https://t.co/O23UsLTzJ0""",4,following1
user1,b'Wish @SadiqKhan would get deported along with all his terrorist buddies yet the government deport innocent harmless\xe2\x80\xa6 https://t.co/VyuyXKjZye',3,following1
user1,"b""@guardian @SadiqKhan Fuck off with ur hate speech crackdown it's more like oppress the whites this is the UK a Chri\xe2\x80\xa6 https://t.co/FLphrnTApk""",1,following1
user1,"b'RT @PrisonPlanet: Reminder that while the UK\'s ""Conservative"" (in name only) government is now detaining foreign journalists for criticism\xe2\x80\xa6'",4,following1
user1,b'@PrisonPlanet Civil war will happen London parliament would probably get burnt down the uk would be lawless',3,following1
user1,b'@GO_Ealing Fuck antifa scum freedom is the UK',1,following1
user1,b'@GuyVerhoftwat U on drugs ? \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',4,following1
user1,"b""@ALT_KTHopkins Unfortunately you an @TRobinsonNewEra  are the same u tell people information an if people don't lik\xe2\x80\xa6 https://t.co/Netu0uMVEk""",4,following1
user1,b'@AMDWaters @TRobinsonNewEra @Jacob_Rees_Mogg @Nigel_Farage @theresa_may .. why is our government so weak an taking\xe2\x80\xa6 https://t.co/N6oNhEDROU',4,following1
user1,"b'RT @PolandDaily: The Prime Ministers of #Lithuania #Latvia &amp; #Estonia have announced, after meeting with the Polish Prime Minister, that th\xe2\x80\xa6'",4,following1
user1,b'RT @philgb79: Retweet\xe2\x80\x99s https://t.co/PZKbOQfU4v',4,following1
user1,b'U suck ass crack an are racist scum @OfficialAntifa',1,following1
user1,b'@_samcorfield Arseholes',1,following1
user1,b'RT @V_of_Europe: The resistance against Islamisation is growing every day in Europe. This was Belgium today https://t.co/xa1CluIDYK',3,following1
user1,"b'RT @LeaveEUOfficial: Over \xc2\xa34bn is handed to EU migrants in benefits every year, much of which leaves our economy as it\xe2\x80\x99s returned to their\xe2\x80\xa6'",4,following1
user1,b'RT @AmyMek: A war is brewing...\n\n@TRobinsonNewEra &amp; his camerawoman were viciously attacked by masked #Antifa Soros terrorists\n\nNo Surprise\xe2\x80\xa6',3,following1
user1,b'@GuyVerhoftwat @guyverhofstadt',4,following1
user1,"b""@GuyVerhoftwat No one hates Europe it's the corrupt thick as fuck genocidal EU people hate .. the USA works simply\xe2\x80\xa6 https://t.co/lMzi60zWYC""",1,following1
user1,b'@StewKipp No need divided we fail just vote For Britain',4,following1
user1,b'@TRobinsonOnline @TRobinsonNewEra To be fair any threat to life the rules or laws go straight out of the window ... well done tommy \xf0\x9f\x91\x8a\xf0\x9f\x87\xac\xf0\x9f\x87\xa7',4,following1
user1,b'RT @LeaveEUOfficial: The next Prime Minister of the UK. Who would you prefer? https://t.co/753mSG2hf0',4,following1
user1,b'Well done Tommy https://t.co/LPUFxUs1OG',4,following1
user1,"b""RT @TelBabe: Having worked and lived in Scotland with many smashing Scottish friends I have to say that no matter what the polls, there'll\xe2\x80\xa6""",4,following1
user1,b'@AMDWaters Fucking arseholes we need to stop making new political parties up an all vote for one UKIP for Britain a\xe2\x80\xa6 https://t.co/2Yk95YJAnC',1,following1
user1,b'@69mib Lol what a cock smoker saying shit like this could back fire an make ur company go bust \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',1,following1
user1,"b""@susannareid100 Lucky guy if it's true \xe2\x9d\xa4""",4,following1
user1,b'RT @AMDWaters: \xe2\x80\x9cA game changer\xe2\x80\x9d \xe2\x80\x93 FLA supporters back Anne Marie Waters announcement https://t.co/oT5SUJEtSv via @AltNewsMedia',4,following1
user1,"b'RT @PolandDaily: One of Poland\'s national heroes, Hieronim ""Zapora"" Dekutowski, was executed   on March 7th 1949 by the communists. He foug\xe2\x80\xa6'",4,following1
user1,b'@GuyVerhoftwat @timmehhh73 Wow u met some deluded idiots in London well done now hurry up an fck off this in our co\xe2\x80\xa6 https://t.co/fp4Xm0qpfP',1,following1
user1,b'https://t.co/iqFj9tr0O0 via @youtube',4,following1
user1,"b'RT @AMDWaters: ""Don\'t remove power from the people""... but that is exactly the point. The people are the problem as far as politicians are\xe2\x80\xa6'",4,following1
user1,b'RT @AMDWaters: No doubt the world will react to the war on whites in South Africa as it did to apartheid.  Right?  https://t.co/9K37he9xpz',1,following1
user1,b'RT @theresa_may: Tomorrow I will set out the next step on the #RoadtoBrexit https://t.co/wcGRQmOXqN',4,following1
user1,b'RT @LeaveEUOfficial: WATCH | Think the UK would suffer without a deal with the EU? Think again! \n\nTake a look at the facts! \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.c\xe2\x80\xa6',4,following1
user1,b'@theresa_may step down now ur an absolute piece of shit an a traitor to this country ... open ended transition peri\xe2\x80\xa6 https://t.co/Ax6lpUuMnO',3,following1
user1,"b""RT @PrisonPlanet: Sweden is a case study in a country that is obliterating itself.\n\nSweden is a warning to the world.\n\nDon't be like Sweden\xe2\x80\xa6""",1,following1
user1,b'As leave won respect democracy an leave in 2019 no Ecj no divorce bill not nothing just leave ffs \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1',4,following1
user1,b'@theresa_may @Jacob_Rees_Mogg @CllrBSilvester @AMDWaters @Nigel_Farage ... Therese may will u quit ur bullshit an l\xe2\x80\xa6 https://t.co/34hFguKceW',1,following1
user1,b'RT @IAmBritishreal: Great turnout for VETERANS AGAINST TERRORISM march in Newcastle. It\xe2\x80\x99s good to see the British people and friends United\xe2\x80\xa6',4,following1
user1,"b""@MarthedeFerrer @EspressoLibrary How is he a Nazi? Please elaborate? Or if u mean simply because he isn't political\xe2\x80\xa6 https://t.co/rlQkJQBcZu""",4,following1
user1,b'@piersmorgan How many people die from Muslim attacks ? Boston bombings ? 9/11 ? Just a few to mention an how many p\xe2\x80\xa6 https://t.co/NsnI5LAXgl',3,following1
user1,b'@SupportOurLefty So the biggest democratic vote in history lol wake up it would never happen',4,following1
user1,"b'RT @MarkACollett: Muslims in Britain openly threaten those voice concerns over Islam, one Muslim warns that those who insult the prophet ca\xe2\x80\xa6'",3,following1
user1,b'@BevHillsAntifa2 @garysmi35858744 Good antifa are scum an violent themselves',1,following1
user1,"b'RT @HandofGOD7: A billionaire, nation-destroying prick trying to reverse the largest democratic vote in UK history\n\nA millionaire, war-crim\xe2\x80\xa6'",1,following1
user1,"b""@GMB Young people don't have a clue""",4,following1
user1,b'RT @theJeremyVine: Blimey. Never seen Roy Hodgson like this before. #MOTD\nhttps://t.co/cObMswsHhR',4,following1
user1,b'RT @HowlandRobin: Suggest:-\n\nNo deal/embarrassing capitulation\n\nReclaim \xc2\xa358bn UK share of EU assets (that Davis nonchalantly wrote off)\n\nNo\xe2\x80\xa6',4,following1
user1,"b""RT @69mib: EUROPEAN UNION\nGermany's Foreign Minister, Martin Schulz, says all EU nations must be part of a \xe2\x80\x9cUnited States of Europe\xe2\x80\x9d by 202\xe2\x80\xa6""",4,following1
user1,b'RT @BritainBitesBac: This is my opinion as to why the British establishment are so scared of offending Muslims - do you remember the 2011 r\xe2\x80\xa6',0,following1
user1,"b'RT @IAmBritishreal: The BRITISH flag is a symbol of national pride, of history, and also of our future. We must Raise and FLY it high! We a\xe2\x80\xa6'",4,following1
user1,b'RT @LeaveEUOfficial: Westminster \xe2\x80\x9cnot considered a national parliament\xe2\x80\x9d. No voice on new laws but full compliance. No autonomy to enter int\xe2\x80\xa6',4,following1
user1,"b'RT @LeaveEUOfficial: Britain sends \xc2\xa313.4bn of taxpayers\xe2\x80\x99 money overseas in aid every year.\n\nAs Jacob Rees-Mogg rightly says, there are high\xe2\x80\xa6'",4,following1
user1,b'RT @MoggMentum: Jacob Rees-Mogg delivers Daily Express petition to Theresa May to stop foreign aid madness\n\nhttps://t.co/UcLrY6hq0L #MoggMe\xe2\x80\xa6',4,following1
user1,b'RT @Nigel_Farage: George Soros has spent billions in the EU to undermine the nation state. This is where the real international political c\xe2\x80\xa6',4,following1
user1,"b""RT @crusaderkeif: Ex-soldier Jim Matthews, 43 from London went to Syria to fight against ISIS now he's facing terror charges. Whilst return\xe2\x80\xa6""",4,following1
user1,"b""RT @AMDWaters: Sweden's politicians are going out of their way to protect those who rape Swedish women.  There's no way back from this.  Th\xe2\x80\xa6""",1,following1
user1,b'RT @tom_jenkins123: Retweet if you want to see this man behind bars. https://t.co/zryc9FuTrX',4,following1
user1,"b'RT @Channel4News: The Pentagon is looking into holding a military parade in Washington, D.C. at the request of President @realDonaldTrump h\xe2\x80\xa6'",4,following1
user1,b'RT @Conservatives: In Parliament Labour just opposed the legislation that will deliver up to an additional \xc2\xa3450 million investment in polic\xe2\x80\xa6',4,following1
user1,b'@LeaveEUOfficial Why u putting stuff like this she said on tv we are leaving the single market',4,following1
user1,b'@jeremycorbyn Having a armed forces an nukes should be a human right we the people run this country an we demand protection',3,following1
user1,b'@PeterSweden7 Send army in round them all up an deport the fuckers',1,following1
user1,b'RT @PeterSweden7: 2 BOMBINGS in SWEDEN tonight. What on earth is going on? RETWEET https://t.co/oRcmgENIqq',4,following1
user1,b'@Conservatives @theresa_may Grow some balls then NO DEAL LEAVE NOW the people voted leave stop messing about everyday is costing us money',1,following1
user1,b'@AliDawow The scum want hanging ...',3,following1
user1,b'RT @Hollis2Bryan: JUST A REMINDER PLEASE RETWEET MANY THANKS. https://t.co/PmY2XHBiW4',4,following1
user1,b'RT @UKfollowgain: RETWEET if you Love the UK and want it to be great again and FOLLOW everyone who RETWEETS and LIKES and Grow your Patriot\xe2\x80\xa6',4,following1
user1,"b'The government want us to be divided as we are easier to control if we all stood together an said fuck u, u corrupt\xe2\x80\xa6 https://t.co/qyYjb4gEoV'",1,following1
user1,b'RT @PrisonPlanet: This is why we need Mogg. https://t.co/2xasjluPLS',4,following1
user1,b'RT @kazmc39: Petition: For all schools in England to teach students the God Save The Queen. https://t.co/eb8s9mXZIW',4,following1
user1,b'RT @UKfollowgain: RETWEET if you Love the UK and want it to be great again and FOLLOW everyone who RETWEETS and LIKES and Grow your Patriot\xe2\x80\xa6',4,following1
user1,"b'@JRom_Nursing @SteveMepham @LBC key word there is popultation, not all eligible to vote an the vote was  simple for\xe2\x80\xa6 https://t.co/MAWEQv2Ar3'",4,following1
user1,b'RT @MarkACollett: In little over 50 years university students have gone from protesting in support of freedom of speech to burning banners\xe2\x80\xa6',4,following1
user1,b'@davidkurten @TRobinsonNewEra Very true some out bursts by vicars are shocking an are going left wing',4,following1
user1,"b'RT @LeaveEUOfficial: Prior to the referendum @UniversitiesUK told us ""European students will choose to go elsewhere"" if we voted for Brexit\xe2\x80\xa6'",4,following1
user1,b'@MoggMentum @Jacob_Rees_Mogg @Anna_Soubry please quit an be quiet',4,following1
user1,b'RT @MoggMentum: Vultures close in on Theresa May as Jacob Rees-Mogg takes dig at PM\xe2\x80\x99s leadership\n\nhttps://t.co/vth8uAXbC2 #MoggMentum',4,following1
user1,b'@mikelallen6 @TheLocalFrance Fuck off France ur country is fucked think of is own people before u think of ours ...',1,following1
user1,b'@MichaelDugher @SadiqKhan Lol another pissed up junker \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 safe hands the stats prove otherwise lol more like the w\xe2\x80\xa6 https://t.co/rBYppH4Bab',1,following1
user1,"b""@PrisonPlanet Get a grip @theresa_may it's a waste of time an resources""",4,following1
user1,"b""@MarkDuff @petuniasforever @Anna_Soubry Most people don't even know who she is, that's how important her views are ..... irreverent""",4,following1
user1,b'@Jacob_Rees_Mogg Just got damn leave no deal Mr Dyson is correct they will come to us ...',4,following1
user1,b'RT @carole99897: https://t.co/fw5ZYLtXEg',4,following1
user1,b'RT @BBCNewsnight: .@KirstyWark questions @TRobinsonNewEra about his tweets following the conviction of Finsbury Park killer Darren Osborne\xe2\x80\xa6',4,following1
user1,b'RT @PrisonPlanet: Irish flag banned on St. Patrick\xe2\x80\x99s day because it might offend someone.\n\nThis is like banning Christmas trees at Christma\xe2\x80\xa6',4,following1
user1,"b""@Graham_British @Richlin11a @ForBritainParty It's a new party just started up I don't even think it existed at the time of the bombing""",4,following1
user1,"b'RT @RobinsonParody: With an expected cost of \xc2\xa320,000 to pursue a lawsuit against the media/CPS for their false reporting involving me in th\xe2\x80\xa6'",4,following1
user1,b'RT @LeaveEUOfficial: The great @Jacob_Rees_Mogg tops yet another poll as Tory favourite to replace Theresa May. Most members back a Brexite\xe2\x80\xa6',4,following1
user1,"b""RT @HowlandRobin: Doesn't Brexit mean 'no deal'?\n\nNo deal\n-Saves \xc2\xa340bn\n-Can still access SM\n-Can implement new trade deals\n-Control over bo\xe2\x80\xa6""",4,following1
user1,b'@TRobinsonNewEra @metpoliceuk @MaajidNawaz Lol deport him send back to place of origin an strip him of any right of citizenship ... period',3,following1
user1,b'@EmoryRaven @itswildrich White genocide is real an happening ... look up the Kergi plan',3,following1
user1,b'@AMike4761 @petuniasforever Free movement ok but we need our of the customs union',4,following1
user1,"b'RT @Partisangirl: #Turkey has destroyed one of #Syria\xe2\x80\x99s history, a temple described in be bible as the \xe2\x80\x9cfirst temple\xe2\x80\x9d, built in #Afrin by m\xe2\x80\xa6'",3,following1
user1,"b'RT @Pyrmha108: Turkish soldiers attempting to invade Afrin / NW Syria, chanting, ""Allah\'\xc4\xb1n izniyle Afrini t\xc3\xbcrk yurdu yapaca\xc4\x9f\xc4\xb1z!""  -   ""With\xe2\x80\xa6'",0,following1
user1,"b""RT @RSeed13: sadly, most media outlets -including perhaps Reuters, Associated Press- too have been bribed by Erdogan's jihadists or frighte\xe2\x80\xa6""",3,following1
user1,b'RT @LemanVct: Every investment and support to Turkey is a suicide.\nEuropean funds and banks have to leave Turkey and sink AKP / Erdogan eco\xe2\x80\xa6',3,following1
user1,b'RT @LemanVct: Western financial institutions must now stop the maintenance of AKP / Erdogan economy.\nErdogan is a cheeky Jihadist and has a\xe2\x80\xa6',3,following1
user1,"b""RT @RSeed13: Erdogan's Turkey is the new ISIS. And this ISIS state has become the world's most oppressive and most ruthless regime. Their a\xe2\x80\xa6""",3,following1
user1,b'RT @ActivePatriots: 53 years ago today was the state funeral of Winston Churchill. Worth a mention after the bad press he\xe2\x80\x99s received by som\xe2\x80\xa6',4,following1
user1,b'@69mib @Richlin11a @BBCNews boycott the bbc',4,following1
user1,b'@bobmca1 @Richlin11a SACK THE ARSEHOLE @PhilipHammondUK',1,following1
user1,b'@SupportOurLefty @D_Blanchflower What a fucking tool you are',1,following1
user1,b'Rise up Germany oust that Hitler figure called Merkel she is destroying the white Christian race https://t.co/0ViXT6qIym',3,following1
user1,b'@JeSuisDog @ElContador2000 @ultimateOne @Smileygirl19681 @Avatar_Queen @SueWhitaker11 @proseccopam77 @SuzieSzabo2\xe2\x80\xa6 https://t.co/XhknNhDAqV',4,following1
user1,b'RT @JeSuisDog: FACT- We are NOT leaving the EU in any way shape or form under Theresa May- something HAS to change &amp; soon!! https://t.co/5M\xe2\x80\xa6',4,following1
user1,"b""RT @LeaveEUOfficial: This morning's spot on Daily Mail front page \xf0\x9f\x91\x8f\n\nREAD MORE: https://t.co/TDnqXYj3NU https://t.co/F0lmIWHEnV""",4,following1
