user,tweets,follows,,
follower1,"b'RT @NadineDorries: Over many years, this man has stood shoulder to shoulder with and supported the cold-blooded murdering, terrorist cause\xe2\x80\xa6'",user1,,
follower1,b'@hannahrosewoods Why the fuck are racists like you blue ticked?! \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1',user1,,
follower1,b'@NNNWigan @BBCNews Nigel Farage is an elected MEP. More people voted for him than any MP. You fucking idiot.',user1,,
follower1,"b""RT @AMDWaters: Here it is. It took 5 years to write.  A document revealing how the Muslim Brotherhood intend to 'destroy the West by its ow\xe2\x80\xa6""",user1,,
follower1,b'RT @kentuckydan: Since Patreon now seems to support Islamofascism and Jihadist Terrorism I will refuse to do business with it as long as th\xe2\x80\xa6',user1,,
follower1,"b'RT @Ex_Muslims_Irl: The burqa is a symbol of Wahhabism, the most puritanical and violent branch of Sunni Islam. It is beyond sickening to s\xe2\x80\xa6'",user1,,
follower1,"b""RT @windsor_360: Trudeau liberals have hit 'peak stupidity' with #Jinnah Park.\n\n#Pakistan has become one of the most intolerant places on E\xe2\x80\xa6""",user1,,
follower1,"b'RT @hiraAhi: @KTHopkins We, Iranians are fighting against islamists. #IslamicRegimeMustGo. \n#IranProtests continue, support Iranians to get\xe2\x80\xa6'",user1,,
follower1,b'RT @memarsadeghi: Iran: The ONLY country in the world where buying &amp; selling human organs is legal. #IslamicRegimeMustGo',user1,,
follower1,b'RT @samilovesiran: Iranians have been taken hostage for 40 years by the terrorist regime of Islamic republic #\xd8\xb1\xd8\xb3\xd8\xaa\xd8\xa7\xd8\xae\xdb\x8c\xd8\xb228\xd8\xa7\xd9\x85\xd8\xb1\xd8\xaf\xd8\xa7\xd8\xaf  #IslamicRegi\xe2\x80\xa6',user1,,
follower1,"b'RT @SoulWarrior1994: This is political Islam to force rapid change in order to impose Islamic dress in their words ""way of life\xe2\x80\x9d \n\nThe Islam\xe2\x80\xa6'",user1,,
follower1,"b""RT @ktdenise: Someone makes a comment about wanting to enjoy footy again without political agendas and gets called a racist.\n\nI'm so sick o\xe2\x80\xa6""",user1,,
follower1,"b'RT @BethFratesMD: Life is a journey + we often think we know our destination. But then, the path seems to keep changing, and our transporta\xe2\x80\xa6'",user1,,
follower1,"b'RT @JaneMoneypenny: Grooming gangs: ""They operate almost exactly like terrorist networks, with all the same strategies ... are big enough t\xe2\x80\xa6'",user1,,
follower1,b'RT @Imamofpeace: The terrorist Clerics of Iran have disguised themselves as a legitimate government for too long.  They are not a governmen\xe2\x80\xa6',user1,,
follower1,"b'RT @chatteris18: Katie Hopkins calls to deport all Islamists, radical imams &amp; jihadists back to the Middle East https://t.co/kZXnpnpyQR'",user1,,
follower1,b'RT @TelBabe: If true and the Didsbury Mosque Imam did preach hate and violence weeks before the cowardly Manchester attack on innocent young\xe2\x80\xa6',user1,,
follower1,"b'RT @ArchKennedy: \xe2\x98\xaa\xef\xb8\x8fTHIS DAY IN RADICAL ISLAMIC TERRORIST HISTORY\xe2\x98\xaa\xef\xb8\x8f\n\nAug 17, 2017: Barcelona, Spain - Islamists plow into a crowd at a popul\xe2\x80\xa6'",user1,,
follower1,b'RT @MorganBergoon: A teen girl used as a sex slave for ISIS bravely escaped &amp; fled to Europe. Her captor confronted her on a street in Germ\xe2\x80\xa6',user1,,
follower1,b'RT @Olgachristie: @gmpolice I would have thought that video evidence of someone calling for \xe2\x80\x9carmed jihad\xe2\x80\x9d was hate speech = criminal offenc\xe2\x80\xa6',user1,,
follower1,b'RT @WelshCelt: @JonathanNichol4 @cpalace68 @Kuffarme @gmpolice @cpsuk @WMPolice @metpoliceuk Yes for incitement to violence these Mosques n\xe2\x80\xa6',user1,,
follower1,b'RT @JonathanNichol4: @gmpolice In how many mosques do they preach jihad like this? \n\nWesterners are not used to vicars &amp; priests lecturing\xe2\x80\xa6',user1,,
follower1,b'RT @Imamofpeace: Can MasterCard please provide us with the list of Islamic Extremists and Jihadists it has banned? How many accounts belong\xe2\x80\xa6',user1,,
follower1,b'RT @LoriCoutler: CIVIL WAR IS COMING: Germany now joins France as citizens from both countries flood the streets in rage against Islamic im\xe2\x80\xa6',user1,,
follower1,b'RT @AMike4761: #UK - 3 year-old Needed Emergency Surgery After Botched Female Genital Mutilation Operation in Sadiq Khan\xe2\x80\x99s London!\xe2\x80\xa6',user1,,
follower1,b'@UB5simon So what? Nobody in UKIP likes Henry Bolton and he\xe2\x80\x99s pro Islam. You DO realise that don\xe2\x80\x99t you?!',user1,,
follower1,b'So what? Nobody in UKIP likes Henry Bolton and he is pro Islam. Whereas most rational\nsensible people in the UK opp\xe2\x80\xa6 https://t.co/1P3ocUJRY0',user1,,
follower1,"b'RT @alessabocchi: Today is the feast of the martyrs of Otranto, when 813 Italians were massacred by the Ottomans for refusing to convert to\xe2\x80\xa6'",user1,,
follower1,b'RT @TarekFatah: Britain is dead: Five UK Govt buildings in London are now operating under Islamic Sharia rules. Here is the @Independent re\xe2\x80\xa6',user1,,
follower1,"b'@ACTBrigitte He\xe2\x80\x99s a cunt\n\nSincerely,\nA Londoner'",user1,,
follower1,b'RT @PeterSweden7: Africa should be African.\nIsrael should be Jewish.\nAsia should be Asian.\n\nIs it really that controversial to say Europe s\xe2\x80\xa6',user1,,
follower1,"b""RT @davidkurten: Couple cycles through ISIS territory to prove 'evil is a made-up concept'. ISIS kills them. Islamist evil is real. https:/\xe2\x80\xa6""",user1,,
follower1,"b'RT @GerardBattenMEP: Who funds this Mosque? Is it Saudi Arabia, Pakistan etc? Countries that export their extremist beliefs to us. UKIP wou\xe2\x80\xa6'",user1,,
follower1,b'RT @madhukishwar: And yet they complain people are phobic about Islam! https://t.co/AWoTDTHSLc',user1,,
follower1,"b'RT @TarekFatah: \xe2\x80\x9cThe Pakistani men I came into contact with made me believe I was nothing more than a slut, a white whore. They treated me\xe2\x80\xa6'",user1,,
follower1,"b""RT @SsvcSylvia: If this is not treason I don't know what is, this fucking cockroach was not only planning to behead former Prime Minister S\xe2\x80\xa6""",user1,,
follower1,"b'RT @patcondell: Utter horseshit. The only reason we have \xe2\x80\x9ccultural and religious tensions\xe2\x80\x9d in the UK is because Islam is here, and Islam is\xe2\x80\xa6'",user1,,
follower1,b'RT @PeterSweden7: Retweet if you think the West should grant refugee status to the South African white minority farmers that are being pers\xe2\x80\xa6',user1,,
follower1,"b'RT @Education4Libs: So Muslim terrorists can kill a 3 year old child, hold 11 other kids hostage, train them to carry out school shootings,\xe2\x80\xa6'",user1,,
follower1,b'RT @I_am_found_: The fact the majority of meat in most supermarkets are halal to appease a small minority of the public is disgusting. \nThi\xe2\x80\xa6',user1,,
follower1,"b'RT @AMDWaters: When the elites can no longer deny the reality of the religion of peace, they will rewrite history and pretend they were aga\xe2\x80\xa6'",user1,,
follower1,b'RT @LoriCoutler: Netherlands bans Islamic veils and infuriates Muslims around the world by saying it is \xe2\x80\x9cthe first step to de-Islamize the\xe2\x80\xa6',user1,,
follower1,b'RT @lass_ayrshire: Owen Jones is 34.   He\xe2\x80\x99s only 7 yrs my junior and he has the maturity levels of a prepubescent teen.   An utterly despic\xe2\x80\xa6',user1,,
follower1,b'RT @davidericstan: I wonder how much he gets paid to write all the crap he does? https://t.co/3QaGoDVikr',user1,,
follower1,b'RT @TelBabe: Distressing story coming out of BBC news tonight about Manchester Mosque Imam allegedly preaching hate and retribution weeks b\xe2\x80\xa6',user1,,
follower1,b'RT @AlexNieora1: This is what is trending in Iran atm  #IslamicRegimeMustGo https://t.co/cFJiv9LJYm',user1,,
follower1,b'RT @parisa22: Real faces of Iran\nTraditional costumes\n\n#IslamicRegimeMustGo https://t.co/o90xivkkqA',user1,,
follower1,"b'RT @Babak_1992: 67- Update\nAug 10, 2018\nTehran, IRAN\nTens of thousand soccer fans attended the Azadi Stadium and chanted: ""Death to the Dictator\xe2\x80\xa6'",user1,,
follower1,b'RT @nazerekabeer: @marklutchman Mark: we have a similar scenario in Iran where people movement against I.R of Terror has not been covered a\xe2\x80\xa6',user1,,
follower1,"b""RT @Babak_1992: @JZarif #ZarifIsALIar,\nIf you don't know what's going on in Iran you betetr to watch this video.10s of thousand soccer fans\xe2\x80\xa6""",user1,,
follower1,"b'RT @Azadi_khah21: Dear president @realDonaldTrump, please support Iranian protesters for regime change in iran.They want democracy and huma\xe2\x80\xa6'",user1,,
follower1,"b'RT @Roudabe33: In the Islamic haven(Golo Bolbol) of Iran, ppl are so poor that they\xe2\x80\x99re looking for food in garbage. But the political elite\xe2\x80\xa6'",user1,,
follower1,"b""RT @rgbd_e2d: These #women in iran have been selling fruits and vegetables for living. they sleep there at night. Shame on #Iran's regime!\xe2\x80\xa6""",user1,,
follower1,b'RT @Maysidi: @HistoryInPix And this is Tehran/Iran now 40 years after the occupation of  Islamic tyranny! #IslamicRegimeMustGo https://t.co\xe2\x80\xa6',user1,,
follower1,"b""RT @2tweetaboutit: Imam at Didsbury mosque where Manchester bomber and his family worshipped was recorded 'calling for armed jihad' in serm\xe2\x80\xa6""",user1,,
follower1,"b'RT @A_Liberty_Rebel: This Owen Jones vs @TheNewEuropean bitch-fight was fun, but also has an important, &amp; ironic, message.\nNote this, TNE:\xe2\x80\xa6'",user1,,
follower1,b'No what\xe2\x80\x99s outrageous is the Quran your holy book promoting genocide against Jewish people https://t.co/U64izzE0LQ',user1,,
follower1,b'RT @PeoplesMomentum: Should Boris Johnson be withdrawn from the whip after his Burka comments?',user1,,
follower1,"b'RT @RubinReport: So Tommy Robinson is banned from Twitter but Hamas, Hezbollah, the Muslim Brotherhood and others aren\xe2\x80\x99t. I sense a theme.\xe2\x80\xa6'",user1,,
follower1,b'RT @Geezajay2013: The Westminster terrorist was said to be searching out white English people to kill. That perhaps explains why he spent 6\xe2\x80\xa6',user1,,
follower1,b'RT @whitt1971: @gmpolice Nothing will be done by @gmpolice  as they are useless as we seen in Rochdale !!',user1,,
follower1,"b""RT @ScribeUndead: Not gonna lie.\n\nIf I got paid to wear body armor and beat up Antifa without legal recourse, I'd be pretty fucking jazzed\xe2\x80\xa6""",user1,,
follower1,b'RT @PrisonPlanet: The only press outlets under attack are independent media - under attack from the very same blue check marks &amp; mainstream\xe2\x80\xa6',user1,,
follower1,"b'RT @ACTBrigitte: Hmmm I don\'t remember liberals freaking out when @sarahjeong called white people ""dogs""\n\nI guess that didn\'t fit their narrative\xe2\x80\xa6'",user1,,
follower1,b'RT @FarLeftWatch: Antifa accounts actively violate @Twitter TOS without consequence.\n\nNot only do they openly encourage people to carry out violent acts\xe2\x80\xa6',user1,,
follower1,"b'RT @realDonaldTrump: The Queen of Soul, Aretha Franklin, is dead. She was a great woman, with a wonderful gift from God, her voice. She wil\xe2\x80\xa6'",user1,,
follower1,b'RT @charliekirk11: Very pleased Brennan\xe2\x80\x99s security clearance has been revoked\n\nNow let\xe2\x80\x99s revoke:\n\nComey\nClapper\nYates\nMcCabe\nRice\nHayden\nSt\xe2\x80\xa6',user1,,
follower1,"b'RT @piersmorgan: I can\xe2\x80\x99t stomach any more Trump Derangement Syndrome, Brexit hysteria, Omarosa bullsh*t or \xe2\x80\x98Madonna inspired me to be f***i\xe2\x80\xa6'",user1,,
follower1,b'RT @charliekirk11: Breaking:\n\nDOJ Arrests ISIS Member in California who entered the U.S. through Obama-era Refugee Program',user1,,
follower1,"b'RT @prwhittle: So, within just days of the Westminster attack, the story becomes one about Islamophobia. \n\nOften next will be a nice, good\xe2\x80\xa6'",user1,,
follower1,b'Twitter\xe2\x80\x99s newsfeed is such a Marxist detachment from reality it might as well be a unicorn shitting Skittles.',user1,,
follower1,b'RT @Holbornlolz: UK is currently facing unprecedented levels of Islamic terrorism.\n\nthese things may be related..... https://t.co/RIDMxjLWzC',user1,,
follower1,"b'RT @spikedonline: \xe2\x80\x9cWe have a very serious terrorism problem in this country. There are many, many people in Britain who want to harm or kill\xe2\x80\xa6'",user1,,
follower1,b'RT @WorlMedia: Invader threatens to drown baby if boat is intercepted https://t.co/nvSnsH1FyQ',user1,,
follower1,b'RT @carole99897: Denmark bans kosher and halal slaughter as minister says \xe2\x80\x98animal rights come before religion\xe2\x80\x99 https://t.co/iCLgNPOWir',user1,,
follower1,"b'RT @LauraLoomer: MUST WATCH: There are currently several JIHADI Congressional candidates w/ ties to Islamic terrorist orgs, including Ilhan\xe2\x80\xa6'",user1,,
follower1,b'RT @Education4Libs: Laura Loomer is doing some seriously underrated journalism.\n\nShe\xe2\x80\x99s blowing the whistle on Muslim jihadists running for\xe2\x80\xa6',user1,,
follower1,b'RT @didierdelmer: \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f Lord Sheikh goes after \xe2\x81\xa6@BorisJohnson\xe2\x81\xa9 for #BurkaGate &amp; he attends events with terrorists \xf0\x9f\xa4\x94 \n\n\xe2\x81\xa6@BrandonLewis\xe2\x81\xa9 | Clea\xe2\x80\xa6',user1,,
follower1,b'RT @ACTBrigitte: Ilhan Omar committed immigration fraud by marrying her brother to help him immigrate to the United States.\n\nIt\xe2\x80\x99s a travest\xe2\x80\xa6',user1,,
follower1,"b'RT @Persogladiat: In Isfahan, #Iran: Hooligans loyal to the Islamofascist regime harass a driver playing Western music on his vehicle\xe2\x80\x99s ste\xe2\x80\xa6'",user1,,
follower1,"b'That\xe2\x80\x99s a lot of words just to say, \xe2\x80\x98\xe2\x80\x99we\xe2\x80\x99re fascist cunts\xe2\x80\x99\xe2\x80\x99 Patreon https://t.co/CcKN6WAS34'",user1,,
follower1,"b'@Patreon @jihadwatchRS That\xe2\x80\x99s a lot of words just to say \xe2\x80\x98\xe2\x80\x99we\xe2\x80\x99re fascist cunts\xe2\x80\x99\xe2\x80\x99, Patreon'",user1,,
follower1,b'RT @FarLeftWatch: This far-left extremist group uses @Facebook to recruit and has almost 8K followers. They openly advocate for armed confl\xe2\x80\xa6',user1,,
follower1,"b'RT @PrisonPlanet: Boris refused to apologise. He refused to back down. Castrated, cowardly politicians take note. Never apologise.'",user1,,
follower1,"b""RT @Ex_Muslims_Irl: To cope with having to wear the burqa, many Muslim women resign themselves to the belief that it's God's will, with som\xe2\x80\xa6""",user1,,
follower1,b'RT @geertwilderspvv: Ban cars? \nBan islamic immigration! https://t.co/iOZphUa7Om',user1,,
follower1,b'@RafzLDN Imagine being as ugly and racist as you',user1,,
follower1,b'@RafzLDN @gwyntdc @hazl11_michael @richardhp @MetroUK Why are you supporting an illegal Islamofascist country???',user1,,
follower1,b'@Weescosha @HuffPostUK @HuffPostUKPol A follower of Islam is a mental state',user1,,
follower1,"b'RT @IanBrownuk: Why is #BBCBreakfast #SkyNews #GMB not telling the truth that Salih Khater, of Stratford Road, Sparkbrook(95% Islamic), Bir\xe2\x80\xa6'",user1,,
follower1,b'@DanielleYorks No they are radicalised by the Quran',user1,,
follower1,b'RT @PrisonPlanet: Some conservatives are \xe2\x80\x9cquitting\xe2\x80\x9d social media because they are intellectual cowards. \n\nI will never quit anything.\n\nI wi\xe2\x80\xa6',user1,,
follower1,"b'RT @RealCandaceO: Omarosa is an evil, psychopathic bitch. \nShe called her then-friends and pretended she heard a tape of Trump using the N\xe2\x80\xa6'",user1,,
follower1,b'RT @PrisonPlanet: Black dude puts himself at risk to protect a man being viciously beaten by an all white hate group.\n\nThat hate group is c\xe2\x80\xa6',user1,,
follower1,"b'RT @PrisonPlanet: Meanwhile, in Paris. https://t.co/B7v2nPkaF5'",user1,,
follower1,b'RT @Telegraph: Images show a man being led away from the vehicle in handcuffs after armed police surrounded the car in #Westminster \nhttps:\xe2\x80\xa6',user1,,
follower1,b'RT @KTHopkins: One thing is certain. It won\xe2\x80\x99t be the driver who will be blamed. The Muslim mafia and leftie editors are already lining up #\xe2\x80\xa6',user1,,
follower1,b'RT @KTHopkins: Black male dragged from car by armed police units after crashing his car into Parliament. This IS being treated as a terrori\xe2\x80\xa6',user1,,
follower1,"b'RT @DVATW: ""Laughing"" - as they raped her.\nCastrate then deport.\nhttps://t.co/hyePaGEcxl https://t.co/zrhenNylYp'",user1,,
follower1,b'RT @Imamofpeace: The Far-Left would rather the West die than look racist.',user1,,
follower1,b'Well we know the #Westminster isn\xe2\x80\x99t white. Otherwise all the attention seeking selfish stupid SJWs on here would be\xe2\x80\xa6 https://t.co/F6W8OS1u9n',user1,,
follower1,b'@DanielHewittITV @MuslimCouncil @itvnews The @MuslimCouncil is an Islamofascism and extremism apologist outfit and should be banned.',user1,,
follower1,"b""RT @AMDWaters: Of all the world's cultures, the Islamic one stands head and shoulders above the rest for cruelty to its female half.  It is\xe2\x80\xa6""",user1,,
follower1,"b'RT @prwhittle: So we have a Leader of the Opposition, who would be Prime Minister, laying a wreath to commemorate terrorists,who cannot bri\xe2\x80\xa6'",user1,,
follower1,"b""RT @AMDWaters: For the last time, the burqa is not an item of clothing, it is a prison made of cloth. Secondly, it's not about 'wearing wha\xe2\x80\xa6""",user1,,
follower1,b'RT @RealJamesWoods: She is simply the stupidest person in the history of American politics. https://t.co/1D7fABESD6',user1,,
follower1,b'@JennieBujold @BorisJohnson Fake news. Real news - Islam is a misogynist homophobic aggressive death cult',user1,,
follower1,b'RT @LBC: The new leader of Ukip in the Welsh Assembly says the burka is \xe2\x80\x9cpart of an alien culture\xe2\x80\x9d and \xe2\x80\x9cindicates a lack of willingness to\xe2\x80\xa6',user1,,
follower1,"b'RT @UKIP: Bishop Michael Nazir-Ali - ""The veil is being weaponised by Islamists to impose what they consider to be Islamic character on com\xe2\x80\xa6'",user1,,
follower1,"b'RT @francesbarber13: To summarize: my beloved @UKLabour now is entirely anti Semitic, admires men with dicks who pretend to be women, loves\xe2\x80\xa6'",user1,,
follower1,b'RT @PaulObr42585873: @afneil You cant bring in massive amounts of middle east citizens and intergrate and good on them europe is ruined by\xe2\x80\xa6',user1,,
follower1,b'RT @StevieBrogues: @OwenJones84 @netanyahu Islamophobia is a made up word to appease the left. Doesn\xe2\x80\x99t exist',user1,,
follower1,"b'RT @PrisonPlanet: The ""Nazis are everywhere"" hysteria is a contrived moral panic fueled by the mainstream media, just as the ""Satanic panic\xe2\x80\xa6'",user1,,
follower1,b'@OwenJones84 @netanyahu You support Islamofascism which brutally murders thousands of Christians every day',user1,,
follower1,"b'RT @KTHopkins: You are a good man, Bibi. @netanyahu Please know that good Brits despise this wretched man Corbyn for his support of Hamas &amp;\xe2\x80\xa6'",user1,,
follower2,"b""@jamesmooreftm @NUFC We could be shit enough to play 3rd tier football but we aren't and never have been. SMB""",user1,,
follower2,b'@NUFC Absolutely shocking display.',user1,,
follower2,b'@NUFC Fucking pathetic.',user1,,
follower2,b'@NUFC Shockingly shit.',user1,,
follower2,b'RT @DVATW: ***NEW and EXCLUSIVE***\nFINSBURY PARK MOSQUE INVESTIGATED!\nPlease read and RT.\nJust what is going on there? https://t.co/PoHmnKX\xe2\x80\xa6',user1,,
follower2,b'RT @Queen_Avatar_: @BanchaSomchai @jihadwatchRS I\xe2\x80\x99m 100% with Boris he said what we was all thinking ..we have been Calling them that for years\xe2\x80\xa6',user1,,
follower2,"b""@RealNewsHere @AndyBurnhamGM He's a typical Labour coward.""",user1,,
follower2,b'RT @Samuel51: @RealNewsHere @AndyBurnhamGM Burnham and GMP are scared witless of our ethnic friends. For them to allow the Imam to dictate\xe2\x80\xa6',user1,,
follower2,"b'RT @RealNewsHere: Islamic Loving Mayor of #manchester @AndyBurnhamGM was too busy calling ppl who voiced concerns over #DidsburyMosque ""EDL\xe2\x80\xa6'",user1,,
follower2,b'RT @Nigel_Farage: I pledge my absolute and total support to Leave Means Leave and will go back on the road to campaign.\n\nOver the last few\xe2\x80\xa6',user1,,
follower2,"b""@TransferGenius_ @MoneyMikeAshley @SportsDirectUK That's a youngin you cock.""",user1,,
follower2,b'RT @RealCandaceO: One year ago today I uploaded my first video onto YouTube. What an incredible year it\xe2\x80\x99s been. \nI feel tremendously gratef\xe2\x80\xa6',user1,,
follower2,"b'RT @jihadwatchRS: As far as I know the Islamic fanatic @nathanlean has no access to medical records. My poisoning was much publicized, and\xe2\x80\xa6'",user1,,
follower2,b'RT @British_Fight: 6/15\n@Ed_Miliband\nSubmissive sex slave.\nMandelson.\nWhat is a whipping party?\nWhat was Edward made to do to become Labour\xe2\x80\xa6',user1,,
follower2,"b'RT @Leeward78: The Liar, The Witch and The Wanker #CorbynKidsBooks https://t.co/HbQ601wAj4'",user1,,
follower2,b'RT @MrLuke001Turn: This was me couple of years ago.\n\nKFC #metrocentre #Gateshead sells halal meat. And it is not stated in restaurants but\xe2\x80\xa6',user1,,
follower2,b'RT @TruthHurts1882: Just call me Boris.\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/3of34ynOuj',user1,,
follower2,b'RT @ActivePatriots: As if we didn\xe2\x80\x99t already know but what vile people the press are.\nThe headline - far right thug Tommy Robinson soaks up\xe2\x80\xa6',user1,,
